Date,Open,High,Low,Close,Volume
2025-07-02 02:30:00,2441.09,2449.45,2441.09,2449.02,117464330.19652776
2025-07-02 02:00:00,2444.9,2449.42,2439.47,2440.96,323533816.7736111
2025-07-02 01:30:00,2439.88,2446.05,2438.69,2445.49,335860749.08402777
2025-07-02 01:00:00,2440.43,2446.71,2435,2439.9,328386032.3555556
2025-07-02 00:30:00,2432.34,2441.01,2429.72,2439.71,337675613.8666667
2025-07-02 00:00:00,2431.03,2434.36,2426.39,2432.13,339403232
2025-07-01 23:30:00,2429.11,2432.15,2426.4,2430.87,336382542.2222222
2025-07-01 23:00:00,2418.93,2431.71,2416.98,2429.25,322024214.75555557
2025-07-01 22:30:00,2414.74,2419.23,2411.82,2418.33,325899780.50069445
2025-07-01 22:00:00,2412.11,2417.46,2408.23,2415.15,330605366.75555557
2025-07-01 21:30:00,2406.27,2411.64,2402.84,2411.62,323513111.7083334
2025-07-01 21:00:00,2398.89,2406.44,2376.15,2406.05,313190850.1333333
2025-07-01 20:30:00,2408.19,2410.57,2398.55,2398.77,316031995.0222222
2025-07-01 20:00:00,2405.31,2410.37,2403.41,2407.98,318299913.95555556
2025-07-01 19:30:00,2397.62,2406.54,2397.07,2405.48,318622403.82569444
2025-07-01 19:00:00,2401.42,2402.31,2386.96,2391.99,1193035776
2025-07-01 18:30:00,2407.39,2413.92,2400.21,2401.41,2361845861.127508
2025-07-01 18:00:00,2407.5,2410.9,2399.93,2407.52,6094567424
2025-07-01 17:30:00,2413.95,2413.99,2404.92,2407.68,5520643072
2025-07-01 17:00:00,2415.39,2419.05,2404.4,2413.97,3964248453.429412
2025-07-01 16:30:00,2409.78,2418.83,2409.33,2415.3,3535783849.4531064
2025-07-01 16:00:00,2403.33,2410.49,2393.97,2409.78,13555296256
2025-07-01 15:30:00,2421.13,2421.82,2402.58,2403.09,6099868672
2025-07-01 15:00:00,2410.62,2423.13,2405.16,2421.09,5979584512
2025-07-01 14:30:00,2422.01,2425.36,2400.5,2410.78,2085768072.6645877
2025-07-01 14:00:00,2432.97,2434.03,2421.2,2422.02,137636225.9660305
2025-07-01 13:30:00,2427.75,2434.76,2425.03,2433.16,836371839.0585682
2025-07-01 13:00:00,2425.2,2432.33,2418.71,2427.9,4399176895.817436
2025-07-01 12:30:00,2429.94,2432.05,2422.35,2425.26,884422722.0500482
2025-07-01 12:00:00,2424.33,2432.21,2419.94,2429.95,1528400279.8960133
2025-07-01 11:30:00,2425.73,2432.62,2419.56,2424.34,795283242.0957289
2025-07-01 11:00:00,2420.46,2429.53,2416.69,2425.78,2991371837.9815164
2025-07-01 10:30:00,2428.3,2433.93,2407.7,2420.48,2029801092.826856
2025-07-01 10:00:00,2444.1,2457.35,2423.93,2428.21,1670719936.6277847
2025-07-01 09:30:00,2443.6,2448.62,2423.89,2444.4,1532593905.0496137
2025-07-01 09:00:00,2438.56,2443.86,2436.54,2443.7,118176964.9892786
2025-07-01 08:30:00,2442.67,2447.27,2435.1,2438.73,1193803776
2025-07-01 08:00:00,2450.14,2454.3,2437.75,2442.39,277588690.20480114
2025-07-01 07:30:00,2451.81,2455.95,2443.11,2450.01,1639696888.9995525
2025-07-01 07:00:00,2456.81,2459.87,2448.05,2451.78,1480333238.6202939
2025-07-01 06:30:00,2454.51,2460.72,2448.47,2456.64,1065684593.8115239
2025-07-01 06:00:00,2457.7,2462.7,2454.52,2454.52,19727154.565245852
2025-07-01 05:30:00,2456.99,2459.24,2450.05,2457.73,1125600993.737858
2025-07-01 05:00:00,2454.1,2459.39,2453.09,2457,1044511221.6827252
2025-07-01 04:30:00,2460.94,2461.96,2452.14,2454.11,946840121.4669021
2025-07-01 04:00:00,2465.95,2466.19,2457.43,2460.62,1199459418.6201642
2025-07-01 03:30:00,2462.76,2469.6,2461.44,2466.14,538134591.8994812
2025-07-01 03:00:00,2460.35,2464.17,2445.5,2462.77,1713885170.9901352
2025-07-01 02:30:00,2458.4,2463.69,2457.85,2460.39,31786586.382332828
2025-07-01 02:00:00,2461.9,2462.87,2456.62,2458.49,922307162.6144038
2025-07-01 01:30:00,2455.91,2462.41,2452.29,2461.9,170218088.60221156
2025-07-01 01:00:00,2461.69,2467.25,2453.66,2455.74,2304080428.672913
2025-07-01 00:30:00,2478.21,2480.83,2460.61,2461.71,2012575984.7589295
2025-07-01 00:00:00,2486.15,2486.82,2477.23,2477.83,867478812.2974379
2025-06-30 23:30:00,2488.19,2488.62,2482.69,2486,896272139.8289918
2025-06-30 23:00:00,2484.25,2488.77,2479.52,2488.2,1179718225.148847
